dataset,attack,PDR,model
sst2,checklist,0.32258064516129037,ibm2
sst2,checklist,0.3908045977011494,ibm2g
sst2,checklist,0.7692307692307693,mamba2
sst2,deepwordbug,0.3837209302325581,ibm2g
sst2,deepwordbug,0.431578947368421,ibm2
sst2,deepwordbug,0.7051282051282052,mamba2
sst2,stresstest,0.6202531645569621,mamba2
sst2,stresstest,0.43478260869565216,ibm2
sst2,stresstest,0.7126436781609196,ibm2g
sst2,textbugger,0.8860759493670887,mamba2
sst2,textbugger,0.7157894736842105,ibm2
sst2,textbugger,0.7045454545454546,ibm2g
wnli,checklist,0.8,mamba2
wnli,checklist,0.6176470588235293,ibm2
wnli,checklist,0.17647058823529413,ibm2g
wnli,deepwordbug,0.034482758620689745,mamba2
wnli,deepwordbug,0.1470588235294117,ibm2g
wnli,deepwordbug,0.06666666666666671,ibm2
wnli,stresstest,0.9473684210526316,ibm2
wnli,stresstest,0.875,ibm2g
wnli,stresstest,1.0,mamba2
wnli,textbugger,0.09375,ibm2
wnli,textbugger,0.0,ibm2g
wnli,textbugger,0.1,mamba2
